ABW,13.03
AND,5.35
AFG,8.07
AGO,2.61
ALB,2.57
ARB,13.2819975272926
ARE,19.02
ARG,5.65
ARM,2.58
ASM,
ATG,13.08
AUS,4.08
AUT,6.29
AZE,2.56
BDI,4.83
BEL,4.66
BEN,1.54
BFA,3.72
BGD,6.89
BGR,5.04
BHR,21.87
BHS,12.84
BIH,9.6
BLR,5.07
BLZ,15.88
BMU,12.77
BOL,7.28
BRA,8.7
BRB,12.35
BRN,8.03
BTN,5.83
BWA,3.9
CAF,7.34
CAN,9.41
CEB,6.21142097523049
CHE,5.63
CHI,5.39
CHL,11.19
CHN,8.64
CIV,5.56
CMR,5.92
COG,5.91
COL,7.26
COM,8.38
CPV,5.85
CRI,9.5
CSS,12.0293675536293
CUB,6.7
CUW,12.82
CYM,12.77
CYP,9.26
CZE,6.59
DEU,7.93
DJI,6.36
DMA,10.99
DNK,6.05
DOM,11.35
DZA,7.29
EAP,8.07688804834658
EAS,7.81528912500386
ECA,7.75469403304288
ECS,6.27725475384798
ECU,5.91
EGY,16.56
EMU,6.35898781034612
ERI,5.73
ESP,7.85
EST,5.65
ETH,5.47
EUU,5.99646730972879
FCS,8.03141749793583
FIN,5.77
FJI,10.88
FRA,5.16
FRO,5.38
FSM,36.3
GAB,10.71
GBR,3.9
GEO,2.55
GHA,3.8
GIN,4.37
GMB,1.96
GNB,3.79
GNQ,6.13
GRC,4.81
GRD,9.22
GRL,
GTM,10.84
GUM,20.05
GUY,15.84
HIC,7.29669448245158
HKG,7.66
HND,11.69
HPC,6.54771934059541
HRV,5.52
HTI,6.7
HUN,5.94
IDN,6.03
IMN,
IND,9.11
INX,
IRL,5.37
IRN,10.01
IRQ,9.6
ISL,3.2
ISR,5.46
ITA,4.93
JAM,10.53
JOR,11.45
JPN,5.12
KAZ,5.01
KEN,4.54
KGZ,6.3
KHM,2.96
KIR,26.43
KNA,12.55
KOR,5.97
KSV,
KWT,23.13
LAC,9.40151522987306
LAO,5.03
LBN,14.92
LBR,3.79
LBY,9.79
LCA,8.31
LCN,9.09101133032782
LDC,6.47338568092887
LIC,5.82323465893125
LIE,5.4
LKA,7.8
LMC,8.0830191231924
LMY,8.28692887254967
LSO,4.5
LTU,3.82
LUX,4.53
LVA,4.98
MAC,8.63
MAF,
MAR,7.88
MCO,5.35
MDA,2.52
MDG,3.73
MDV,9.41
MEA,12.2626198250021
MEX,12.63
MHL,37.06
MIC,8.51506170307199
MKD,9.76
MLI,1.6
MLT,7.33
MMR,6.14
MNA,10.9225626175085
MNE,9.82
MNG,7.5
MNP,
MOZ,2.82
MRT,5.22
MUS,21.15
MWI,5.59
MYS,17.64
NAC,9.39207276911517
NAM,6.86
NCL,20.06
NER,4.18
NGA,5.27
NIC,12.45
NLD,5
NOC,8.37936498742386
NOR,5.24
NPL,4.96
NZL,9.9
OEC,7.00214222504369
OED,7.91421550825116
OMN,14.49
OSS,7.00890578905491
PAK,7.93
PAN,8.54
PER,6.54
PHL,6.71
PLW,18.46
PNG,6.33
POL,5.63
PRI,12.98
PRK,6.15
PRT,9.59
PRY,7
PSS,15.397896659202
PYF,24.42
QAT,19.78
ROU,7.99
RUS,5.03
RWA,6.25
SAS,8.68796041317976
SAU,23.9
SDN,17.91
SEN,5.14
SGP,10.79
SLB,16.12
SLE,3.76
SLV,11.75
SMR,5.35
SOM,7.29
SRB,9.75
SSA,6.2735251767629
SSD,10.08
SSF,6.27411996661204
SST,8.92085039212961
STP,5.88
SUR,10.83
SVK,7.21
SVN,7.17
SWE,4.51
SWZ,4.33
SXM,12.77
SYC,11.98
SYR,8.79
TCA,
TCD,5.77
TGO,4.72
THA,7.36
TJK,6.44
TKM,5.01
TLS,6.76
TON,14.76
TTO,13.09
TUN,9.41
TUR,14.84
TUV,15.33
TZA,9.15
UGA,5.19
UKR,2.58
UMC,8.97217684407143
URY,5.76
USA,9.39
UZB,6.43
VCT,9.95
VEN,6.86
VIR,12.1
VNM,5.71
VUT,23.71
PSE,9.16
WLD,8.07608978167942
WSM,7.64
YEM,8.25
ZAF,9.36
COD,7.56
ZMB,5.04
ZWE,9.34
