AFG,33,65
ALA,60.25,20
ALB,41,20
DZA,28,3
ASM,-14.3333333333,-170
AND,42.5,1.5
AGO,-12.5,18.5
AIA,18.25,-63.1666666667
ATA,-90,0
ATG,17.05,-61.8
ARG,-34,-64
ARM,40,45
ABW,12.5,-69.9666666667
AUS,-27,133
AUT,47.3333333333,13.3333333333
AZE,40.5,47.5
BHS,24.25,-76
BHR,26,50.55
BGD,24,90
BRB,13.1666666667,-59.5333333333
BLR,53,28
BEL,50.8333333333,4
BLZ,17.25,-88.75
BEN,9.5,2.25
BMU,32.3333333333,-64.75
BTN,27.5,90.5
BOL,-17,-65
BES,12.1666666667,-68.25
BIH,44,18
BWA,-22,24
BVT,-54.4333333333,3.4
BRA,-10,-55
IOT,-6,71.5
BRN,4.5,114.666666667
BGR,43,25
BFA,13,-2
BDI,-3.5,30
KHM,13,105
CMR,6,12
CAN,60,-95
CPV,16,-24
CYM,19.5,-80.5
CAF,7,21
TCD,15,19
CHL,-30,-71
CHN,35,105
CXR,-10.5,105.666666667
CCK,-12.5,96.8333333333
COL,4,-72
COM,-12.1666666667,44.25
COG,-1,15
COD,0.0166666666667,25
COK,-21.2333333333,-159.766666667
CRI,10,-84
CIV,8,-5
HRV,45.1666666667,15.5
CUB,21.5,-80
CUW,12.1666666667,-69
CYP,35,33
CZE,49.75,15.5
DNK,56,10
DJI,11.5,43
DMA,15.4166666667,-61.3333333333
DOM,19,-70.6666666667
ECU,-2,-77.5
EGY,27,30
SLV,13.8333333333,-88.9166666667
GNQ,2,10
ERI,15,39
EST,59,26
ETH,8,38
FLK,-51.75,-59
FRO,62,-7
FJI,-18,175
FIN,64,26
FRA,46,2
GUF,4,-53
PYF,-15,-140
ATF,-37.8333333333,77.5333333333
GAB,-1,11.75
GMB,13.4666666667,-16.5666666667
GEO,42,43.5
DEU,51,9
GHA,8,-2
GIB,36.1333333333,-5.35
GRC,39,22
GRL,72,-40
GRD,12.1166666667,-61.6666666667
GLP,16.25,-61.5833333333
GUM,13.4666666667,144.783333333
GTM,15.5,-90.25
GGY,49.4666666667,-2.58333333333
GIN,11,-10
GNB,12,-15
GUY,5,-59
HTI,19,-72.4166666667
HMD,-53.1,72.5166666667
VAT,41.9,12.45
HND,15,-86.5
HKG,22.25,114.166666667
HUN,47,20
ISL,65,-18
IND,20,77
IDN,-5,120
IRN,32,53
IRQ,33,44
IRL,53,-8
IMN,54.25,-4.5
ISR,31.5,34.75
ITA,42.8333333333,12.8333333333
JAM,18.25,-77.5
JPN,36,138
JEY,49.25,-2.16666666667
JOR,31,36
KAZ,48,68
KEN,1,38
KIR,1.41666666667,173
PRK,40,127
KOR,37,127.5
KWT,29.366667,47.966667
KGZ,41,75
LAO,18,105
LVA,57,25
LBN,33.8333333333,35.8333333333
LSO,-29.5,28.5
LBR,6.5,-9.5
LBY,25,17
LIE,47.2666666667,9.53333333333
LTU,56,24
LUX,49.75,6.16666666667
MAC,22.1666666667,113.55
MKD,41.8333333333,22
MDG,-20,47
MWI,-13.5,34
MYS,2.5,112.5
MDV,3.25,73
MLI,17,-4
MLT,35.8333333333,14.5833333333
MHL,9,168
MTQ,14.6,-61.0833333333
MRT,20,-12
MUS,-20.2833333333,57.55
MYT,-12.8333333333,45.1666666667
MEX,23,-102
FSM,6.91666666667,158.25
MDA,47,29
MCO,43.732778,7.419722
MNG,46,105
MNE,42.5,19.3
MSR,16.75,-62.2
MAR,32,-5
MOZ,-18.25,35
MMR,22,98
NAM,-22,17
NRU,-0.533333333333,166.916666667
NPL,28,84
NLD,52.5,5.75
NCL,-21.5,165.5
NZL,-41,174
NIC,13,-85
NER,16,8
NGA,10,8
NIU,-19.0333333333,-169.866666667
NFK,-29.0333333333,167.95
MNP,15.2,145.75
NOR,62,10
PSE,32,35.25
OMN,21,57
PAK,30,70
PLW,7.5,134.5
PAN,9,-80
PNG,-6,147
PRY,-23,-58
PER,-10,-76
PHL,13,122
PCN,-25.0666666667,-130.1
POL,52,20
PRT,39.5,-8
PRI,18.25,-66.5
QAT,25.5,51.25
REU,-21.1,55.6
ROU,46,25
RUS,60,100
RWA,-2,30
BLM,17.9,-62.833333
SHN,-15.95,-5.7
KNA,17.3333333333,-62.75
LCA,13.8833333333,-60.9666666667
MAF,18.075278,-63.06
SPM,46.8333333333,-56.3333333333
VCT,13.25,-61.2
WSM,-13.5833333333,-172.333333333
SMR,43.933333,12.4166666667
STP,1,7
SAU,25,45
SEN,14,-14
SRB,44,21
SYC,-4.58333333333,55.6666666667
SLE,8.5,-11.5
SGP,1.36666666667,103.8
SXM,18.04167,-63.06667
SVK,48.6666666667,19.5
SVN,46.1166666667,14.8166666667
SLB,-8,159
SOM,10,49
ZAF,-29,24
SGS,-54.5,-37
SSD,8,30
ESP,40,-4
LKA,7,81
SDN,15,30
SUR,4,-56
SJM,78,20
SWZ,-26.5,31.5
SWE,62,15
CHE,47,8
SYR,35,38
TWN,23.5,121
TJK,39,71
TZA,-6,35
THA,15,100
TLS,-8.83333333333,125.916666667
TGO,8,1.16666666667
TKL,-9,-172
TON,-20,-175
TTO,11,-61
TUN,34,9
TUR,39,35
TKM,40,60
TCA,21.75,-71.5833333333
TUV,-8,178
UGA,1,32
UKR,49,32
ARE,24,54
GBR,54,-2
USA,38,-97
UMI,16.75,-169.516666667
URY,-33,-56
UZB,41,64
VUT,-16,167
VEN,8,-66
VNM,16.1666666667,107.833333333
VGB,18.5,-64.5
VIR,18.3333333333,-64.8333333333
WLF,-13.3,-176.2
ESH,24.5,-13
YEM,15,48
ZMB,-15,30
ZWE,-20,30
